TrxID	GeneName	GeneID	DpleGene	MsexGene
PIERAPT00000000277	Rab21	PIERAPG00000000091	DPOGS200914	Msex2.06559
PIERAPT00000000278	Pdia6	PIERAPG00000000092	DPOGS201415	Msex2.10316,Msex2.13798
PIERAPT00000000279	BRAP	PIERAPG00000000093	DPOGS212751	Msex2.04345
PIERAPT00000000281	G114722	PIERAPG00000000094	DPOGS207316	Msex2.09291
PIERAPT00000000282	Cdt1	PIERAPG00000000095	DPOGS213538	Msex2.02377
PIERAPT00000000285	ZNF853drm	PIERAPG00000000096	DPOGS207012	Msex2.05057
PIERAPT00000000286	glt-1	PIERAPG00000000097	DPOGS202815	Msex2.07651
PIERAPT00000000294	tdcB	PIERAPG00000000099	NA	Msex2.08117
PIERAPT00000000296	Dbt	PIERAPG00000000101	DPOGS215598	Msex2.04403
PIERAPT00000000303	ergic3SYAC	PIERAPG00000000103	DPOGS214171	Msex2.03148
PIERAPT00000000306	CG18335ELP3	PIERAPG00000000104	DPOGS208811	NA
PIERAPT00000000309	Riok2	PIERAPG00000000106	DPOGS205360	Msex2.09370
PIERAPT00000000310	Ppp2r4	PIERAPG00000000107	NA	Msex2.08190
PIERAPT00000000316	PebIII	PIERAPG00000000111	NA	Msex2.08878
PIERAPT00000000319	SERPINB9	PIERAPG00000000113	DPOGS202353	NA
PIERAPT00000000323	Tssc1	PIERAPG00000000115	DPOGS215518	NA
PIERAPT00000000327	PLXNA4	PIERAPG00000000116	DPOGS211617	Msex2.07196
PIERAPT00000000328	Obp19d	PIERAPG00000000117	DPOGS205439	Msex2.03519
PIERAPT00000000334	TpnC47D	PIERAPG00000000120	DPOGS200878	Msex2.10867
PIERAPT00000000336	HIGD1A	PIERAPG00000000122	DPOGS208710	Msex2.08189
PIERAPT00000000337	fam32al	PIERAPG00000000123	DPOGS203260	Msex2.12674,Msex2.12675
PIERAPT00000000341	SREBF1	PIERAPG00000000125	DPOGS215981	Msex2.12629
PIERAPT00000000343	CCDC63	PIERAPG00000000126	DPOGS201692	Msex2.11680
PIERAPT00000000346	su(w[a])	PIERAPG00000000127	DPOGS206863	Msex2.10175
PIERAPT00000000349	gatc	PIERAPG00000000128	DPOGS212343	Msex2.12335
PIERAPT00000000350	Gpl	PIERAPG00000000129	DPOGS213109	NA
PIERAPT00000000351	PKDREJ	PIERAPG00000000130	DPOGS212331	Msex2.10870
PIERAPT00000000352	AGPAT1	PIERAPG00000000131	DPOGS213118	NA
PIERAPT00000000354	HCFC1	PIERAPG00000000132	DPOGS204414	Msex2.06844
PIERAPT00000000356	CLPTM1	PIERAPG00000000133	DPOGS208475	Msex2.09044
PIERAPT00000000358	Snx16C2	PIERAPG00000000135	NA	Msex2.10368
PIERAPT00000000362	Tstd3	PIERAPG00000000136	DPOGS208936	Msex2.08652
PIERAPT00000000364	CXorf65	PIERAPG00000000137	DPOGS202225	NA
PIERAPT00000000369	Klhdc4	PIERAPG00000000139	DPOGS202412	Msex2.08906
PIERAPT00000000377	Wnt2b	PIERAPG00000000140	DPOGS204304	Msex2.06219
PIERAPT00000000378	ydgB	PIERAPG00000000141	DPOGS214038	Msex2.01179
PIERAPT00000000381	ClgnCanx	PIERAPG00000000144	NA	Msex2.12740
PIERAPT00000000383	ATP5L	PIERAPG00000000145	DPOGS202218	Msex2.07700
PIERAPT00000000386	Ald	PIERAPG00000000146	DPOGS206959	NA
PIERAPT00000000392	NUDT8	PIERAPG00000000147	DPOGS215033	Msex2.01123
PIERAPT00000000394	Srp68	PIERAPG00000000148	DPOGS214689	Msex2.03009
PIERAPT00000000399	G108143	PIERAPG00000000153	DPOGS201793	Msex2.13219,Msex2.13221
PIERAPT00000000400	mical3a	PIERAPG00000000154	DPOGS205313	Msex2.12905,Msex2.12906
PIERAPT00000000403	Tmcc2	PIERAPG00000000155	DPOGS208167	NA
PIERAPT00000000404	Kr	PIERAPG00000000156	DPOGS211954	Msex2.06807
PIERAPT00000000410	chpLRFN1	PIERAPG00000000161	NA	Msex2.00661
PIERAPT00000000423	Glod4	PIERAPG00000000166	DPOGS212133	Msex2.06191
PIERAPT00000000428	Slc2a8	PIERAPG00000000168	NA	Msex2.13121
PIERAPT00000000429	MVK	PIERAPG00000000169	DPOGS207113	Msex2.01589
PIERAPT00000000430	Hrb27C	PIERAPG00000000170	NA	Msex2.11603
PIERAPT00000000432	SelD	PIERAPG00000000172	DPOGS214352	Msex2.07628
PIERAPT00000000433	Paf-AHalpha	PIERAPG00000000173	DPOGS211110	NA
PIERAPT00000000434	ELOVL4	PIERAPG00000000174	DPOGS204195	Msex2.14021
PIERAPT00000000437	l(2)04524	PIERAPG00000000176	DPOGS214338	NA
PIERAPT00000000438	IWS1HydininfB	PIERAPG00000000177	DPOGS215869	Msex2.03081
PIERAPT00000000445	PRKCG	PIERAPG00000000179	NA	Msex2.06353
PIERAPT00000000463	Capsl	PIERAPG00000000181	DPOGS210124	NA
PIERAPT00000000470	RNF19A	PIERAPG00000000182	DPOGS210716	Msex2.02455
PIERAPT00000000476	Chp1	PIERAPG00000000187	DPOGS214935	Msex2.12566
PIERAPT00000000478	SLC22A4	PIERAPG00000000189	DPOGS209145,DPOGS209146	Msex2.00399
PIERAPT00000000479	Shfm1	PIERAPG00000000190	DPOGS214392	NA
PIERAPT00000000480	blos3	PIERAPG00000000191	DPOGS215354	Msex2.11801
PIERAPT00000000482	Tp63	PIERAPG00000000193	DPOGS207535	Msex2.06372
PIERAPT00000000490	murC	PIERAPG00000000197	DPOGS207279	NA
PIERAPT00000000491	pnp	PIERAPG00000000198	DPOGS207678	NA
PIERAPT00000000495	tsp-17	PIERAPG00000000201	DPOGS211869	NA
PIERAPT00000000504	NPL	PIERAPG00000000203	DPOGS202692	Msex2.07898
PIERAPT00000000507	IMMP1L	PIERAPG00000000204	DPOGS205679	Msex2.07974
PIERAPT00000000509	RNF217	PIERAPG00000000206	DPOGS200236	NA
PIERAPT00000000511	G100499	PIERAPG00000000208	DPOGS207614	Msex2.00557
PIERAPT00000000514	thap1	PIERAPG00000000210	DPOGS200648	Msex2.04047
PIERAPT00000000515	coq4	PIERAPG00000000211	DPOGS203493,DPOGS203494	Msex2.07466
PIERAPT00000000520	ABCG1	PIERAPG00000000212	DPOGS205105	Msex2.02920
PIERAPT00000000524	UBE2F	PIERAPG00000000214	DPOGS202188	Msex2.03032
PIERAPT00000000526	Hpgd	PIERAPG00000000215	DPOGS202095	Msex2.06766
PIERAPT00000000531	lov	PIERAPG00000000216	DPOGS209727	NA
PIERAPT00000000532	Gld	PIERAPG00000000217	DPOGS207060	Msex2.12278,Msex2.14332
PIERAPT00000000536	tamo	PIERAPG00000000218	DPOGS210438	Msex2.08733
PIERAPT00000000546	DHX36	PIERAPG00000000220	DPOGS200424	Msex2.01619
PIERAPT00000000547	NGFR	PIERAPG00000000221	DPOGS209758	Msex2.00130
PIERAPT00000000548	FAM175A	PIERAPG00000000222	DPOGS209178	Msex2.04480
PIERAPT00000000553	Syncrip	PIERAPG00000000224	DPOGS210730	Msex2.02465
PIERAPT00000000561	march2	PIERAPG00000000225	DPOGS202368	Msex2.05742
PIERAPT00000000563	P25	PIERAPG00000000226	DPOGS203585	Msex2.05964
PIERAPT00000000567	NPY2R	PIERAPG00000000227	DPOGS214801	Msex2.11958
PIERAPT00000000568	D1044.1	PIERAPG00000000228	DPOGS206008,DPOGS210528	Msex2.04807
PIERAPT00000000569	METTL5	PIERAPG00000000229	DPOGS212159	Msex2.04312
PIERAPT00000000571	Ak7	PIERAPG00000000231	DPOGS215594	Msex2.04407
PIERAPT00000000573	csnk1a1	PIERAPG00000000233	DPOGS200797	Msex2.12447
PIERAPT00000000575	Gld_2	PIERAPG00000000235	DPOGS207055	Msex2.11136
PIERAPT00000000581	FAB1DPATZ1	PIERAPG00000000239	DPOGS205032	Msex2.10369
PIERAPT00000000584	Lrrc34	PIERAPG00000000240	DPOGS214433	Msex2.07744
PIERAPT00000000588	Sh	PIERAPG00000000241	DPOGS206125	Msex2.10422
PIERAPT00000000590	Scsalpha	PIERAPG00000000243	DPOGS208185	Msex2.03776
PIERAPT00000000594	Kcnip1	PIERAPG00000000246	DPOGS215353	Msex2.11802
PIERAPT00000000606	KMT2CRPII	PIERAPG00000000251	DPOGS208927	Msex2.08650
PIERAPT00000000622	CG12006	PIERAPG00000000253	DPOGS200524	Msex2.08372
PIERAPT00000000625	GA19813CPIJ001500	PIERAPG00000000255	DPOGS202728	Msex2.01867
PIERAPT00000000627	march5	PIERAPG00000000256	DPOGS207207	Msex2.04702
PIERAPT00000000628	ESD	PIERAPG00000000257	DPOGS204422	Msex2.06854
PIERAPT00000000632	Mns1	PIERAPG00000000259	DPOGS201263	Msex2.05183
PIERAPT00000000636	AGRN	PIERAPG00000000260	DPOGS212287	Msex2.03281
PIERAPT00000000638	G112608	PIERAPG00000000262	DPOGS201935	Msex2.03895
PIERAPT00000000641	colt	PIERAPG00000000264	DPOGS200981	Msex2.05552
PIERAPT00000000645	ZNF317dapE	PIERAPG00000000265	DPOGS209733	Msex2.06029
PIERAPT00000000649	NEFMstat3.2	PIERAPG00000000266	DPOGS214868	Msex2.01703
PIERAPT00000000655	tsr1CG7338	PIERAPG00000000267	DPOGS210051	Msex2.11684
PIERAPT00000000657	CCAP-R	PIERAPG00000000269	DPOGS211412	Msex2.07084
PIERAPT00000000659	dlst	PIERAPG00000000270	NA	Msex2.12332
PIERAPT00000000661	leuCchd8	PIERAPG00000000271	DPOGS210436	Msex2.08736
PIERAPT00000000663	FAM183A	PIERAPG00000000272	DPOGS204553	Msex2.09390
PIERAPT00000000667	NPR1GCY	PIERAPG00000000273	DPOGS205097	Msex2.04998
PIERAPT00000000674	serS	PIERAPG00000000275	NA	Msex2.05059
PIERAPT00000000676	ANKFN1	PIERAPG00000000277	NA	Msex2.04657
PIERAPT00000000679	RIOK3	PIERAPG00000000280	DPOGS213219	Msex2.12319
PIERAPT00000000685	sh3bp5lpcs	PIERAPG00000000281	DPOGS216171	Msex2.07220
PIERAPT00000000686	PNLIPRP2	PIERAPG00000000282	DPOGS201472,DPOGS201481	Msex2.03908,Msex2.03896,Msex2.03907,Msex2.03909
PIERAPT00000000690	fz	PIERAPG00000000283	DPOGS214208	Msex2.03157
PIERAPT00000000691	fbp	PIERAPG00000000284	DPOGS201523	Msex2.03936
PIERAPT00000000692	PNN	PIERAPG00000000285	DPOGS212830	Msex2.00915
PIERAPT00000000695	BOLA3	PIERAPG00000000286	DPOGS213979	Msex2.09733
PIERAPT00000000696	COX6B1	PIERAPG00000000287	DPOGS212377	NA
PIERAPT00000000698	C7orf26	PIERAPG00000000289	DPOGS210336	Msex2.08927
PIERAPT00000000701	CHORD	PIERAPG00000000291	DPOGS205780	Msex2.14202
PIERAPT00000000702	retm	PIERAPG00000000292	DPOGS207496	Msex2.08235
PIERAPT00000000712	CIRH1A	PIERAPG00000000296	DPOGS213513	Msex2.02419
PIERAPT00000000720	CCDC132	PIERAPG00000000298	DPOGS201603	Msex2.13895
PIERAPT00000000722	eno	PIERAPG00000000299	DPOGS214285	Msex2.02020
PIERAPT00000000723	rnf2-a	PIERAPG00000000300	DPOGS210860	Msex2.04649
PIERAPT00000000729	ANKMY1rnhB	PIERAPG00000000302	DPOGS215741	Msex2.03749
PIERAPT00000000736	ZNF609	PIERAPG00000000305	DPOGS214330	NA
PIERAPT00000000746	sacA	PIERAPG00000000306	DPOGS200280	Msex2.13169
PIERAPT00000000747	Utp15	PIERAPG00000000307	DPOGS202136	Msex2.00714
PIERAPT00000000750	Spt5	PIERAPG00000000308	DPOGS210135	Msex2.00252
PIERAPT00000000751	B3GNT5	PIERAPG00000000309	NA	Msex2.13048
PIERAPT00000000752	P27K	PIERAPG00000000310	DPOGS210032	NA
PIERAPT00000000753	TDRD3	PIERAPG00000000311	DPOGS200739	Msex2.10622
PIERAPT00000000754	Elovl4	PIERAPG00000000312	DPOGS202674	Msex2.10412
PIERAPT00000000756	Hs2st	PIERAPG00000000314	DPOGS201554	NA
PIERAPT00000000757	ZAN	PIERAPG00000000315	DPOGS211914	Msex2.12867
PIERAPT00000000761	alpha-Adaptin	PIERAPG00000000318	DPOGS206453	Msex2.01895
PIERAPT00000000762	PGRP	PIERAPG00000000319	DPOGS209814	Msex2.15530,Msex2.10092
PIERAPT00000000765	myd88-a	PIERAPG00000000322	DPOGS205936	Msex2.12079
PIERAPT00000000768	gxylt1	PIERAPG00000000325	DPOGS202272	Msex2.12030
PIERAPT00000000774	vipas39	PIERAPG00000000328	DPOGS204057	Msex2.14264
PIERAPT00000000780	EHBP1	PIERAPG00000000330	DPOGS211827	Msex2.09929
PIERAPT00000000783	Lip3	PIERAPG00000000331	DPOGS201425,DPOGS201424	NA
PIERAPT00000000791	ZNF358Zscan10ZNF581FEZF2	PIERAPG00000000333	DPOGS204102	Msex2.00747
PIERAPT00000000793	PRPF19	PIERAPG00000000334	DPOGS205952	Msex2.11330
PIERAPT00000000794	Taf8	PIERAPG00000000335	DPOGS206642	Msex2.00507
PIERAPT00000000801	Fas3	PIERAPG00000000336	DPOGS212551	Msex2.11108
PIERAPT00000000808	igf1r	PIERAPG00000000338	DPOGS211050	Msex2.09513
PIERAPT00000000812	hykk	PIERAPG00000000340	DPOGS209314	Msex2.06255
PIERAPT00000000827	COASY	PIERAPG00000000341	DPOGS207820	Msex2.02256
PIERAPT00000000834	Rnf41	PIERAPG00000000343	DPOGS207596	Msex2.08070
PIERAPT00000000836	atg3	PIERAPG00000000345	DPOGS210890	Msex2.00263
PIERAPT00000000837	Adf1	PIERAPG00000000346	DPOGS208609	Msex2.13388
PIERAPT00000000838	SLC18A2	PIERAPG00000000347	DPOGS209304	NA
PIERAPT00000000839	EDEM3	PIERAPG00000000348	DPOGS201368	Msex2.08622
PIERAPT00000000844	dctR	PIERAPG00000000350	DPOGS202539	NA
PIERAPT00000000846	ME1	PIERAPG00000000351	DPOGS208229	Msex2.00817
PIERAPT00000000853	gatA	PIERAPG00000000352	DPOGS212217	NA
PIERAPT00000000855	TNT	PIERAPG00000000354	DPOGS204739	Msex2.03994
PIERAPT00000000860	TMEM214	PIERAPG00000000355	DPOGS209131	Msex2.09064
PIERAPT00000000863	CYP6L1CYP6K1	PIERAPG00000000357	DPOGS204386	Msex2.03303
PIERAPT00000000870	ESTJ	PIERAPG00000000359	DPOGS201957	Msex2.07667
PIERAPT00000000871	slc36a4	PIERAPG00000000360	DPOGS203368	Msex2.01341
PIERAPT00000000878	Farp1	PIERAPG00000000361	DPOGS202152	Msex2.09683
PIERAPT00000000882	Arl1	PIERAPG00000000363	DPOGS215955	Msex2.06160
PIERAPT00000000886	ben	PIERAPG00000000365	DPOGS201405	Msex2.07681
PIERAPT00000000887	TGas113e22.1	PIERAPG00000000366	DPOGS200276,DPOGS207203,DPOGS212471,DPOGS212517	Msex2.10198,Msex2.13334,Msex2.03535
PIERAPT00000000890	MYRO1_2	PIERAPG00000000368	DPOGS215795	Msex2.13243
PIERAPT00000000893	MCT1A	PIERAPG00000000369	DPOGS201311	NA
PIERAPT00000000895	Iqca1p1	PIERAPG00000000371	DPOGS210768	NA
PIERAPT00000000897	IYD	PIERAPG00000000373	DPOGS204451	Msex2.08980
PIERAPT00000000898	HOP3	PIERAPG00000000374	DPOGS204566	Msex2.02518
PIERAPT00000000900	CG31559	PIERAPG00000000376	DPOGS215511	NA
PIERAPT00000000904	TMEM245	PIERAPG00000000377	DPOGS202248	Msex2.08105
PIERAPT00000000914	Btk29A	PIERAPG00000000381	DPOGS207465	Msex2.04566
PIERAPT00000000922	EMC1	PIERAPG00000000382	DPOGS210722	Msex2.02466
PIERAPT00000000927	MFB2	PIERAPG00000000383	DPOGS206983	Msex2.04585,Msex2.04583
PIERAPT00000000932	sec5	PIERAPG00000000384	DPOGS208726	Msex2.08195
PIERAPT00000000935	tctex1d1-aTCTEX1D1	PIERAPG00000000386	DPOGS214674	Msex2.08753
PIERAPT00000000940	CCDC174	PIERAPG00000000388	DPOGS212498	Msex2.11423
PIERAPT00000000944	proB	PIERAPG00000000390	DPOGS206629	Msex2.00521
PIERAPT00000000948	LUC7L2	PIERAPG00000000391	DPOGS204344	Msex2.02706
PIERAPT00000000949	ZCCHC10	PIERAPG00000000392	DPOGS207323	Msex2.02763
PIERAPT00000000952	GST1	PIERAPG00000000394	DPOGS208312	Msex2.11863
PIERAPT00000000955	Znf598	PIERAPG00000000395	DPOGS214776	NA
PIERAPT00000000956	At3g58280	PIERAPG00000000396	DPOGS212653	Msex2.07372
PIERAPT00000000957	feoC	PIERAPG00000000397	DPOGS212486	NA
PIERAPT00000000963	Tre1	PIERAPG00000000399	DPOGS210371	Msex2.10303
PIERAPT00000000967	Cdh23	PIERAPG00000000402	DPOGS205838	NA
PIERAPT00000000970	Osbp	PIERAPG00000000403	DPOGS201779	Msex2.11361
PIERAPT00000000971	cpq	PIERAPG00000000404	DPOGS202042	Msex2.04211
PIERAPT00000000974	PNPO	PIERAPG00000000406	DPOGS209749	Msex2.00141
PIERAPT00000000977	ADRB1	PIERAPG00000000408	DPOGS209037	NA
PIERAPT00000000978	ZFHX2	PIERAPG00000000409	DPOGS213282	NA
PIERAPT00000000980	RpL34	PIERAPG00000000411	DPOGS213218	Msex2.12320
PIERAPT00000000981	Agxt	PIERAPG00000000412	DPOGS201669	Msex2.01880
PIERAPT00000000983	atpE	PIERAPG00000000413	DPOGS210649	NA
PIERAPT00000000987	SJCHGC01960	PIERAPG00000000416	DPOGS207302	Msex2.06148
PIERAPT00000000999	DCST2Stab1	PIERAPG00000000418	DPOGS210277	NA
PIERAPT00000001002	CG3876	PIERAPG00000000421	DPOGS205803	Msex2.10223
PIERAPT00000001005	KDM1A	PIERAPG00000000423	DPOGS203173	Msex2.06751
PIERAPT00000001010	Dis3	PIERAPG00000000425	DPOGS208894	NA
PIERAPT00000001011	AKR1B1	PIERAPG00000000426	DPOGS214986	Msex2.12503
PIERAPT00000001012	G114941	PIERAPG00000000427	NA	Msex2.12982
PIERAPT00000001013	yl	PIERAPG00000000428	DPOGS210708	Msex2.02440
PIERAPT00000001016	ubald2	PIERAPG00000000430	DPOGS211648	NA
PIERAPT00000001017	G113950	PIERAPG00000000431	DPOGS211256	Msex2.01858
PIERAPT00000001022	ZNF800	PIERAPG00000000433	DPOGS209014	Msex2.05735
PIERAPT00000001024	SLC27A4	PIERAPG00000000435	DPOGS214140	Msex2.13622
PIERAPT00000001025	tbcb	PIERAPG00000000436	NA	Msex2.03445
PIERAPT00000001027	spt4	PIERAPG00000000438	DPOGS201659	Msex2.00149
PIERAPT00000001028	fezf2	PIERAPG00000000439	NA	Msex2.03672
PIERAPT00000001029	Corin	PIERAPG00000000440	DPOGS202945	Msex2.00987
PIERAPT00000001033	rgn	PIERAPG00000000444	DPOGS204680	Msex2.09301
PIERAPT00000001037	AKAP13ARHGEF2	PIERAPG00000000445	DPOGS208152	NA
PIERAPT00000001040	Scpep1	PIERAPG00000000446	DPOGS213692	Msex2.08350
PIERAPT00000001041	Tgfbr1	PIERAPG00000000447	DPOGS207162	Msex2.01387
PIERAPT00000001043	HI	PIERAPG00000000449	DPOGS204422	Msex2.06854
PIERAPT00000001049	Sin3a	PIERAPG00000000450	DPOGS214927	Msex2.02142
PIERAPT00000001057	WDR43	PIERAPG00000000451	DPOGS205519	NA
PIERAPT00000001058	VIRE	PIERAPG00000000452	NA	Msex2.05598
PIERAPT00000001062	SVIL	PIERAPG00000000453	DPOGS213722	Msex2.03476
PIERAPT00000001067	G103093	PIERAPG00000000454	DPOGS214505	Msex2.08963
PIERAPT00000001072	PANK4	PIERAPG00000000455	DPOGS204232	Msex2.06216
PIERAPT00000001074	ZNF425	PIERAPG00000000457	DPOGS205035	Msex2.10370
PIERAPT00000001076	OBP1	PIERAPG00000000459	DPOGS210500	Msex2.07430
PIERAPT00000001077	TRAK1	PIERAPG00000000460	DPOGS205045	NA
PIERAPT00000001086	Ints1	PIERAPG00000000462	DPOGS212820	Msex2.00887
PIERAPT00000001089	MAGT1	PIERAPG00000000463	DPOGS202680	Msex2.03974
PIERAPT00000001093	CCL4	PIERAPG00000000466	DPOGS215117	Msex2.11059,Msex2.11060
PIERAPT00000001095	Kiaa0100	PIERAPG00000000467	NA	Msex2.06308
PIERAPT00000001098	CG9286	PIERAPG00000000468	DPOGS206774	Msex2.04690
PIERAPT00000001099	NPY2R_2	PIERAPG00000000469	DPOGS214802	Msex2.11580
PIERAPT00000001101	Gyc88E	PIERAPG00000000470	DPOGS207218	Msex2.04688
PIERAPT00000001109	RGN	PIERAPG00000000474	DPOGS209948	Msex2.07329,Msex2.07330
PIERAPT00000001114	pdhb-1	PIERAPG00000000478	DPOGS211492	Msex2.09233
PIERAPT00000001119	fadD30Os10g0330600	PIERAPG00000000483	DPOGS211380	Msex2.07109
PIERAPT00000001138	BAZ2B	PIERAPG00000000485	DPOGS205585	Msex2.03875
PIERAPT00000001157	disco	PIERAPG00000000486	DPOGS204807	Msex2.06943
PIERAPT00000001159	nrf-6	PIERAPG00000000487	DPOGS211433	Msex2.11165
PIERAPT00000001160	trr	PIERAPG00000000488	DPOGS204281	Msex2.07042
PIERAPT00000001165	TXN2	PIERAPG00000000489	DPOGS210004	Msex2.07162
PIERAPT00000001167	NATT4	PIERAPG00000000490	DPOGS201523	Msex2.03936
PIERAPT00000001172	snk	PIERAPG00000000492	DPOGS206202	NA
PIERAPT00000001174	CATL	PIERAPG00000000493	DPOGS209955	Msex2.10739
PIERAPT00000001175	ileS	PIERAPG00000000494	DPOGS204818	Msex2.02487
PIERAPT00000001178	Tssk2Tssk4	PIERAPG00000000495	DPOGS211775	Msex2.05863
PIERAPT00000001179	Dock7	PIERAPG00000000496	NA	Msex2.07055
