PIERAPG00000012191	len=150	ExpAA=22.79	First60=1.25	PredHel=1	Topology=o61-83i
PIERAPG00000009504	len=335	ExpAA=38.30	First60=15.68	PredHel=2	Topology=o4-26i290-312o
PIERAPG00000001082	len=1281	ExpAA=169.67	First60=0.00	PredHel=8	Topology=i403-425o445-462i479-501o511-528i692-714o739-761i1146-1168o1172-1194i
PIERAPG00000014500	len=107	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003552	len=195	ExpAA=30.64	First60=28.30	PredHel=0	Topology=o
PIERAPG00000010026	len=244	ExpAA=1.15	First60=0.01	PredHel=0	Topology=o
PIERAPG00000009090	len=583	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
PIERAPG00000000590	len=226	ExpAA=13.43	First60=13.42	PredHel=0	Topology=o
PIERAPG00000013660	len=172	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007996	len=295	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008678	len=296	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008049	len=139	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007940	len=162	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002992	len=142	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002599	len=716	ExpAA=119.89	First60=0.00	PredHel=5	Topology=i138-160o185-207i260-282o292-314i411-433o
PIERAPG00000003008	len=597	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009926	len=715	ExpAA=8.63	First60=7.09	PredHel=0	Topology=o
PIERAPG00000004986	len=681	ExpAA=0.93	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005290	len=186	ExpAA=4.92	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000842	len=900	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000011	len=686	ExpAA=0.33	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010379	len=242	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001903	len=96	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000009275	len=430	ExpAA=0.10	First60=0.05	PredHel=0	Topology=o
PIERAPG00000000231	len=529	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004831	len=300	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006801	len=318	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000146	len=390	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002110	len=390	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007039	len=488	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007954	len=488	ExpAA=0.33	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004927	len=456	ExpAA=1.49	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013689	len=506	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013957	len=540	ExpAA=6.37	First60=0.35	PredHel=0	Topology=o
PIERAPG00000010932	len=688	ExpAA=25.54	First60=20.48	PredHel=1	Topology=i47-64o
PIERAPG00000004335	len=236	ExpAA=22.78	First60=0.00	PredHel=1	Topology=o213-235i
PIERAPG00000010608	len=329	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009044	len=498	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007555	len=323	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013863	len=198	ExpAA=0.37	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012657	len=505	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009622	len=180	ExpAA=0.09	First60=0.09	PredHel=0	Topology=o
PIERAPG00000010688	len=557	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006821	len=140	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007305	len=50	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
PIERAPG00000001681	len=240	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000011888	len=2142	ExpAA=1.53	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008437	len=87	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001701	len=199	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002868	len=395	ExpAA=45.00	First60=22.46	PredHel=2	Topology=i7-29o348-370i
PIERAPG00000007581	len=840	ExpAA=142.23	First60=0.00	PredHel=6	Topology=o395-417i438-460o526-548i555-577o632-654i763-785o
PIERAPG00000000825	len=225	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000011059	len=1041	ExpAA=171.68	First60=0.00	PredHel=8	Topology=i113-135o148-167i308-330o340-362i870-892o931-950i970-992o1002-1019i
PIERAPG00000014322	len=250	ExpAA=34.26	First60=0.00	PredHel=1	Topology=i140-162o
PIERAPG00000004675	len=149	ExpAA=0.78	First60=0.78	PredHel=0	Topology=o
PIERAPG00000001156	len=356	ExpAA=0.60	First60=0.60	PredHel=0	Topology=o
PIERAPG00000006267	len=197	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008054	len=222	ExpAA=63.98	First60=41.43	PredHel=3	Topology=i5-27o42-64i101-118o
PIERAPG00000005837	len=122	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004973	len=137	ExpAA=19.72	First60=1.59	PredHel=1	Topology=i61-83o
PIERAPG00000003702	len=751	ExpAA=0.45	First60=0.01	PredHel=0	Topology=o
PIERAPG00000011545	len=744	ExpAA=5.71	First60=5.34	PredHel=0	Topology=o
PIERAPG00000002201	len=370	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014202	len=204	ExpAA=0.29	First60=0.28	PredHel=0	Topology=o
PIERAPG00000001400	len=298	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001079	len=342	ExpAA=0.04	First60=0.02	PredHel=0	Topology=o
PIERAPG00000003324	len=272	ExpAA=23.87	First60=1.21	PredHel=1	Topology=o228-250i
PIERAPG00000007851	len=289	ExpAA=13.80	First60=13.78	PredHel=0	Topology=o
PIERAPG00000005976	len=731	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014535	len=550	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004497	len=278	ExpAA=1.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006438	len=933	ExpAA=0.18	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014809	len=285	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004895	len=140	ExpAA=0.74	First60=0.51	PredHel=0	Topology=o
PIERAPG00000012781	len=177	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000013646	len=121	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008967	len=210	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003584	len=242	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012855	len=173	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003171	len=326	ExpAA=16.57	First60=16.57	PredHel=1	Topology=i5-27o
PIERAPG00000009465	len=1251	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010284	len=701	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000034	len=874	ExpAA=6.78	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000493	len=342	ExpAA=14.37	First60=14.37	PredHel=1	Topology=i7-24o
PIERAPG00000006216	len=288	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
PIERAPG00000011713	len=279	ExpAA=0.53	First60=0.30	PredHel=0	Topology=o
PIERAPG00000001293	len=495	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009887	len=501	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013573	len=456	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013359	len=1299	ExpAA=2.06	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013590	len=611	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008877	len=218	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000126	len=227	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014130	len=391	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000013668	len=372	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005443	len=536	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
PIERAPG00000006824	len=467	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001580	len=531	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003586	len=551	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014212	len=545	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002614	len=235	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010647	len=257	ExpAA=91.72	First60=20.17	PredHel=4	Topology=i41-63o78-100i113-135o232-254i
PIERAPG00000003451	len=107	ExpAA=0.33	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006977	len=364	ExpAA=2.54	First60=1.74	PredHel=0	Topology=o
PIERAPG00000009813	len=332	ExpAA=0.70	First60=0.19	PredHel=0	Topology=o
PIERAPG00000005836	len=275	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007965	len=2031	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004009	len=331	ExpAA=0.89	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000810	len=1245	ExpAA=0.18	First60=0.12	PredHel=0	Topology=o
PIERAPG00000005180	len=371	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013867	len=307	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013734	len=479	ExpAA=7.92	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005065	len=313	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010393	len=190	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004171	len=631	ExpAA=0.60	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002187	len=365	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014642	len=885	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007445	len=424	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001561	len=375	ExpAA=0.09	First60=0.08	PredHel=0	Topology=o
PIERAPG00000000104	len=555	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005362	len=349	ExpAA=0.57	First60=0.56	PredHel=0	Topology=o
PIERAPG00000012707	len=523	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012236	len=226	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005851	len=503	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009556	len=138	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001463	len=187	ExpAA=3.79	First60=0.00	PredHel=0	Topology=o
PIERAPG00000011845	len=248	ExpAA=132.44	First60=8.21	PredHel=6	Topology=i69-91o96-118i125-144o149-171i178-197o207-229i
PIERAPG00000005355	len=145	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010296	len=124	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014481	len=107	ExpAA=21.78	First60=0.00	PredHel=1	Topology=o74-96i
PIERAPG00000008321	len=275	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002294	len=626	ExpAA=1.19	First60=0.25	PredHel=0	Topology=o
PIERAPG00000012720	len=542	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
PIERAPG00000006017	len=225	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009095	len=907	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001756	len=706	ExpAA=6.06	First60=2.24	PredHel=0	Topology=o
PIERAPG00000010607	len=547	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006127	len=243	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006713	len=218	ExpAA=0.19	First60=0.19	PredHel=0	Topology=o
PIERAPG00000012035	len=232	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000011394	len=127	ExpAA=24.53	First60=1.78	PredHel=1	Topology=o99-121i
PIERAPG00000014697	len=127	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006067	len=690	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001610	len=161	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012558	len=312	ExpAA=7.81	First60=0.08	PredHel=0	Topology=o
PIERAPG00000011522	len=1759	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004820	len=355	ExpAA=4.43	First60=3.43	PredHel=0	Topology=o
PIERAPG00000001594	len=389	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004857	len=406	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008695	len=368	ExpAA=0.18	First60=0.05	PredHel=0	Topology=o
PIERAPG00000007187	len=266	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007911	len=301	ExpAA=0.14	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001316	len=239	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001596	len=185	ExpAA=0.19	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001014	len=174	ExpAA=21.17	First60=0.32	PredHel=1	Topology=i109-131o
PIERAPG00000000827	len=122	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003053	len=110	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000287	len=82	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001234	len=104	ExpAA=21.76	First60=20.91	PredHel=1	Topology=o39-61i
PIERAPG00000000254	len=390	ExpAA=1.07	First60=0.33	PredHel=0	Topology=o
PIERAPG00000002237	len=233	ExpAA=0.50	First60=0.50	PredHel=0	Topology=o
PIERAPG00000005138	len=788	ExpAA=0.73	First60=0.01	PredHel=0	Topology=o
PIERAPG00000013424	len=454	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008732	len=258	ExpAA=0.49	First60=0.49	PredHel=0	Topology=o
PIERAPG00000009194	len=448	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010787	len=494	ExpAA=18.37	First60=15.41	PredHel=1	Topology=o4-21i
PIERAPG00000009546	len=322	ExpAA=8.53	First60=8.52	PredHel=0	Topology=o
PIERAPG00000001181	len=351	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002530	len=478	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
PIERAPG00000000015	len=166	ExpAA=0.08	First60=0.08	PredHel=0	Topology=o
PIERAPG00000000017	len=132	ExpAA=12.79	First60=6.41	PredHel=0	Topology=o
PIERAPG00000007566	len=528	ExpAA=8.57	First60=4.46	PredHel=0	Topology=o
PIERAPG00000002592	len=98	ExpAA=0.10	First60=0.07	PredHel=0	Topology=o
PIERAPG00000001407	len=106	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
PIERAPG00000005024	len=387	ExpAA=22.58	First60=21.78	PredHel=1	Topology=i5-27o
PIERAPG00000002385	len=552	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009671	len=179	ExpAA=42.73	First60=22.96	PredHel=2	Topology=o35-57i151-173o
PIERAPG00000014542	len=91	ExpAA=1.53	First60=1.53	PredHel=0	Topology=o
PIERAPG00000001443	len=792	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013221	len=321	ExpAA=0.80	First60=0.80	PredHel=0	Topology=o
PIERAPG00000008282	len=78	ExpAA=18.52	First60=18.52	PredHel=1	Topology=o27-46i
PIERAPG00000003098	len=280	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006734	len=108	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008159	len=335	ExpAA=33.11	First60=1.31	PredHel=1	Topology=i67-86o
PIERAPG00000014861	len=1038	ExpAA=1.20	First60=1.20	PredHel=0	Topology=o
PIERAPG00000005872	len=366	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008533	len=1002	ExpAA=159.62	First60=0.93	PredHel=8	Topology=i60-78o88-107i260-279o299-321i760-782o787-809i833-855o931-953i
PIERAPG00000001836	len=92	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006422	len=495	ExpAA=0.30	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014751	len=162	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000181	len=283	ExpAA=22.05	First60=21.21	PredHel=1	Topology=i13-35o
PIERAPG00000005629	len=235	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010758	len=509	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
PIERAPG00000011221	len=505	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003557	len=350	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007244	len=995	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013534	len=471	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006561	len=549	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
PIERAPG00000007040	len=234	ExpAA=91.27	First60=34.64	PredHel=4	Topology=i12-34o49-71i84-106o199-221i
PIERAPG00000004636	len=89	ExpAA=1.17	First60=0.01	PredHel=0	Topology=i
PIERAPG00000012970	len=433	ExpAA=2.41	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009037	len=306	ExpAA=0.31	First60=0.27	PredHel=0	Topology=o
PIERAPG00000012808	len=1042	ExpAA=0.21	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003300	len=1849	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
PIERAPG00000011409	len=1683	ExpAA=0.15	First60=0.01	PredHel=0	Topology=o
PIERAPG00000002297	len=98	ExpAA=5.36	First60=5.36	PredHel=0	Topology=i
PIERAPG00000010838	len=524	ExpAA=0.32	First60=0.23	PredHel=0	Topology=o
PIERAPG00000005100	len=211	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008340	len=216	ExpAA=1.14	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014334	len=524	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009004	len=152	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014575	len=330	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009819	len=289	ExpAA=0.06	First60=0.01	PredHel=0	Topology=o
PIERAPG00000006982	len=108	ExpAA=20.02	First60=20.01	PredHel=1	Topology=o35-57i
PIERAPG00000010255	len=451	ExpAA=1.77	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010974	len=886	ExpAA=18.70	First60=18.66	PredHel=1	Topology=i5-24o
PIERAPG00000013851	len=771	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007691	len=520	ExpAA=45.12	First60=16.51	PredHel=2	Topology=o4-21i219-241o
PIERAPG00000013998	len=487	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004246	len=79	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
PIERAPG00000001644	len=289	ExpAA=0.07	First60=0.02	PredHel=0	Topology=o
PIERAPG00000006540	len=86	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
PIERAPG00000003525	len=200	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010737	len=167	ExpAA=0.26	First60=0.21	PredHel=0	Topology=o
